"IDFCFIRSTB" In-SE-For-A-While LTP=36.75  RSI=44.7368421052631  SUPERTEND=37.27649859511659 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 13:49:31.238843
"PEL" In-LE-For-A-While LTP=1489.6  RSI=56.730103806228364  SUPERTEND=1454.3861459792631 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 14:34:17.537393
"AMARAJABAT" In-SE-For-A-While LTP=918.55  RSI=44.598765432098766  SUPERTEND=922.8942074074074 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 14:34:20.189140
"HDFCBANK" In-SE-For-A-While LTP=1373.8  RSI=39.03295515937328  SUPERTEND=1385.7692639209877 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 14:34:21.622668
"BANKBARODA" In-LE-For-A-While LTP=59.95  RSI=70.52631578947368  SUPERTEND=58.687361667862824 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 14:34:26.450744
"INDIA VIX" In-SE-For-A-While LTP=18.13  RSI=33.73287671232873  SUPERTEND=18.657451166531953 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 14:34:29.393762
"DIVISLAB" In-LE-For-A-While LTP=3719.7  RSI=61.51793655499555  SUPERTEND=3677.9486853443073 up MACD= Cross-Over above line TIMESTAMP=2020-12-07 14:34:30.241694
"ASHOKLEY" SE LTP=95.25  RSI=40.13157894736833  SUPERTEND=95.86680823572016 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:51.065126
"INDIGO" LE LTP=1744.85  RSI=60.970636215334395  SUPERTEND=1728.3299845342783 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:51.520819
"MOTHERSUMI" SE LTP=159.05  RSI=41.07142857142861  SUPERTEND=160.63765928120714 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:51.825771
"BERGEPAINT" Might-Give-A-LE-Signal LTP=671.2  RSI=55.692729766803986  SUPERTEND=667.3260561690065 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:52.123257
"TATAPOWER" SE LTP=71.55  RSI=40.66666666666663  SUPERTEND=72.59406321331407 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:52.695808
"BEL" SE LTP=114.95  RSI=33.98692810457513  SUPERTEND=115.79279470529492 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:53.320822
"HINDPETRO" SE LTP=216.5  RSI=38.09523809523814  SUPERTEND=218.06783109337724 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:53.563138
"PIDILITIND" SE LTP=1614.4  RSI=41.982864137086985  SUPERTEND=1619.4650794096024 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:53.920453
"TORNTPOWER" SE LTP=324.0  RSI=41.45833333333336  SUPERTEND=326.2394746240878 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:54.053272
"AMBUJACEM" SE LTP=252.45  RSI=27.526881720430296  SUPERTEND=254.5300325925926 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:54.173591
"DLF" LE LTP=207.75  RSI=59.85221674876847  SUPERTEND=205.4195763565668 up MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:54.427355
"HAVELLS" SE LTP=824.35  RSI=36.08786610878664  SUPERTEND=830.725870076096 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:55.077416
"AMARAJABAT" SE LTP=918.25  RSI=43.67816091954023  SUPERTEND=924.73302294738 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:57.999455
"APOLLOTYRE" SE LTP=188.0  RSI=43.195266272189286  SUPERTEND=188.65 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 15:26:58.248524
"SHREECEM" SE LTP=24923.6  RSI=39.79104909261797  SUPERTEND=25079.91652637059 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:59.406696
"TATAMOTORS" SE LTP=183.75  RSI=31.87772925764193  SUPERTEND=185.1682145036525 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:26:59.621816
"IDEA" SE LTP=9.65  RSI=36.84210526315793  SUPERTEND=9.775912345564885 down MACD= Cross-Over below line TIMESTAMP=2020-12-07 15:26:59.811358
"LICHSGFIN" SE LTP=349.9  RSI=42.09956709956709  SUPERTEND=352.4596325522085 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:00.197889
"BAJAJFINSV" SE LTP=9027.0  RSI=39.659632402995285  SUPERTEND=9083.576 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:15.728601
"CUMMINSIND" SE LTP=567.15  RSI=40.03623188405793  SUPERTEND=572.1323558057613 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:16.062644
"GMRINFRA" SE LTP=26.3  RSI=38.18181818181821  SUPERTEND=26.626391067449475 down MACD= No Cross-Over TIMESTAMP=2020-12-07 15:27:16.269751
